"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","市区町村City/Ward/Town/Village","町名番地Address","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1000975","目黒区立緑が丘図書館","MEGUROKURITSUMIDORIGAOKA Library","メグロクリツミドリガオカトショカン","152-0034","東京都","目黒区","緑が丘2丁目14-23","03-3723-0661","","http://www.meguro-library.jp/locations/midorigaoka-loc/",,2011/10/1 0:00:00,2015/1/7 0:00:00
"JP-1000976","目黒区立目黒区民センター図書館","MEGUROKURITSUMEGUROKUMINSENTA Library","メグロクリツメグロクミンセンタートショカン","153-0063","東京都","目黒区","目黒2丁目4-36","03-3711-1138","","http://www.meguro-library.jp/locations/megurokumin-loc/",,2011/10/1 0:00:00,2015/1/7 0:00:00
"JP-1000977","目黒区立中目黒駅前図書館","MEGUROKURITSUNAKAMEGUROEKIMAE Library","メグロクリツナカメグロエキマエトショカン","153-0051","東京都","目黒区","上目黒2丁目1-3","03-3710-7253","","http://www.meguro-library.jp/locations/nakameguro-loc/",,2011/10/1 0:00:00,2015/1/7 0:00:00
"JP-1000978","目黒区立目黒本町図書館","MEGUROKURITSUMEGUROHONCHO Library","メグロクリツメグロホンチョウトショカン","152-0002","東京都","目黒区","目黒本町2丁目1-20","03-3792-6325","","http://www.meguro-library.jp/locations/megurohoncho-loc/",,2011/10/1 0:00:00,2015/1/7 0:00:00
"JP-1000979","目黒区立洗足図書館","MEGUROKURITSUSENZOKU Library","メグロクリツセンゾクトショカン","152-0012","東京都","目黒区","洗足2丁目8-26","03-3719-7651","","http://www.meguro-library.jp/locations/senzoku-loc/",,2011/10/1 0:00:00,2015/1/7 0:00:00
"JP-1000980","目黒区立八雲中央図書館","Meguro City Yakumo Chuo Library","メグロクリツヤクモチュウオウトショカン","152-0023","東京都","目黒区","八雲1丁目1-1","03-5701-2795","03-5701-2794","http://www.meguro-library.jp/locations/yakumo-loc/",,2011/10/1 0:00:00,2015/1/7 0:00:00
"JP-1000981","大田区立大田図書館","Ota City Ota Library","オオタクリツオオタトショカン","145-0076","東京都","大田区","田園調布南25-1","03-3758-3051","03-3758-3625","http://www.lib.city.ota.tokyo.jp",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000982","大田区立池上図書館","Ota City Ikegami Library","オオタクリツイケガミトショカン","146-0082","東京都","大田区","池上六丁目3番10号　エトモ池上4階","03-3752-3341","03-3752-9749","http://www.city.ota.tokyo.jp/shisetsu/toshokan/ikegami.html",,2011/10/1 0:00:00,2021/6/18 0:00:00
"JP-1000983","大田区立入新井図書館","Ota City Iriarai Library","オオタクリツイリアライトショカン","143-0016","東京都","大田区","大森北1丁目10‐14　Ｌｕｚ大森　4階","03-3763-3633","03‐3763‐3781","http://www.city.ota.tokyo.jp/shisetsu/toshokan/iriarai.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000984","大田区立大森南図書館","OTAKURITSUOMORIMINAMI Library","オオタクリツオオモリミナミトショカン","143-0013","東京都","大田区","大森南1丁目17-7","03-3744-8411","03-3744-8421","http://www.city.ota.tokyo.jp/shisetsu/toshokan/omori_minami.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000985","大田区立蒲田図書館","Ota City Kamata Library","オオタクリツカマタトショカン","144-0031","東京都","大田区","東蒲田1丁目19-22","03-3738-2459","03-3736-9782","http://www.city.ota.tokyo.jp/shisetsu/toshokan/kamata.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000986","大田区立下丸子図書館","Ota City Shimomaruko Library","オオタクリツシモマルコトショカン","146-0092","東京都","大田区","下丸子2丁目18-11","03-3759-2454","03-3759-2604","http://www.city.ota.tokyo.jp/shisetsu/toshokan/shimomaruko.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000987","大田区立洗足池図書館","Ota City Senzokuike Library","オオタクリツセンゾクイケトショカン","145-0063","東京都","大田区","南千束2丁目2-10","03-3726-0401","03-3726-3268","http://www.city.ota.tokyo.jp/shisetsu/toshokan/senzokuike.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000988","大田区立浜竹図書館","Ota City Hamatake Library","オオタクリツハマタケトショカン","144-0034","東京都","大田区","西糀谷3丁目32-7","03-3741-1185","03-3741-6220","http://www.city.ota.tokyo.jp/shisetsu/toshokan/hamatake.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000989","大田区立馬込図書館","Ota City Magome Library","オオタクリツマゴメトショカン","143-0027","東京都","大田区","中馬込2丁目26-10","03-3775-5401","03-3775-5841","http://www.city.ota.tokyo.jp/shisetsu/toshokan/magome.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000990","大田区立六郷図書館","Ota City Rokugo　Library","オオタクリツロクゴウトショカン","144-0045","東京都","大田区","南六郷3丁目10-3","03-3732-4445","03-3736-2854","http://www.city.ota.tokyo.jp/shisetsu/toshokan/rokugou.html",,2011/10/1 0:00:00,2020/5/29 0:00:00
"JP-1000991","大田区立蒲田駅前図書館","OTAKURITSUKAMATAEKIMAE Library","オオタクリツカマタエキマエトショカン","144-0052","東京都","大田区","蒲田5丁目13-26-301","03-3736-0131","03-3736-1094","http://www.city.ota.tokyo.jp/shisetsu/toshokan/kamataekimae.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000992","大田区立大森東図書館","OTAKURITSUOMORIHIGASHI Library","オオタクリツオオモリヒガシトショカン","143-0012","東京都","大田区","大森東1丁目31-3-104","03-3763-9681","03-3298-6021","http://www.city.ota.tokyo.jp/shisetsu/toshokan/omori_higashi.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000993","大田区立多摩川図書館","Ota City Tamagawa Library","オオタクリツタマガワトショカン","146-0095","東京都","大田区","多摩川2丁目24-63","03-3756-1251","03-3756-1745","http://www.city.ota.tokyo.jp/shisetsu/toshokan/tamagawa.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000994","大田区立久が原図書館","Ota City Kugahara Library","オオタクリツクガハラトショカン","146-0085","東京都","大田区","久が原2丁目28-4","03-3753-3343","","http://www.city.ota.tokyo.jp/shisetsu/toshokan/kugahara.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000995","大田区立大森西図書館","Ota City Omorinishi Library","オオタクリツオオモリニシトショカン","143-0015","東京都","大田区","大森西5丁目2-13","03-3763-1191","03-3298-6022","http://www.city.ota.tokyo.jp/shisetsu/toshokan/omori_nishi.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000996","大田区立羽田図書館","Ota City Haneda Library","オオタクリツハネダトショカン","144-0043","東京都","大田区","羽田1丁目11-1","03-3745-3221","03-3745-3229","http://www.city.ota.tokyo.jp/shisetsu/toshokan/haneda.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1000997","世田谷区立中央図書館","Setagaya Central Library","セタガヤクリツチュウオウトショカン","154-0016","東京都","世田谷区","弦巻3丁目16-8","03-3429-1811","03-3429-7436","http://libweb.city.setagaya.tokyo.jp/",,2011/10/1 0:00:00,2012/4/4 0:00:00
"JP-1000998","世田谷区立梅丘図書館","Setagaya City Umegaoka Library","セタガヤクリツウメガオカトショカン","155-0033","東京都","世田谷区","代田4丁目38-10","03-3323-8261","03-3328-9417","https://libweb.city.setagaya.tokyo.jp/main/list_00201info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1000999","世田谷区立奥沢図書館","Setagaya City Okusawa Library","セタガヤクリツオクサワトショカン","158-0083","東京都","世田谷区","奥沢3丁目47-8　奥沢区民センター３階","03-3720-2096","03-3748-5183","https://libweb.city.setagaya.tokyo.jp/main/list_00205info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001000","世田谷区立烏山図書館","Setagaya City Karasuyama Library","セタガヤクリツカラスヤマトショカン","157-0062","東京都","世田谷区","南烏山6丁目2-19　烏山区民センター４階","03-3326-3521","03-3326-9241","https://libweb.city.setagaya.tokyo.jp/main/list_00208info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001001","世田谷区立砧図書館","Setagaya City Kinuta Library","セタガヤクリツキヌタトショカン","157-0072","東京都","世田谷区","祖師谷3丁目10-4","03-3482-2271","03-3482-4603","https://libweb.city.setagaya.tokyo.jp/main/list_00204info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001002","世田谷区立下馬図書館","Setagaya City Shimouma Library","セタガヤクリツシモウマトショカン","154-0002","東京都","世田谷区","下馬2丁目32-1","03-3418-6531","03-3424-0076","https://libweb.city.setagaya.tokyo.jp/main/list_00209info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001003","世田谷区立世田谷図書館","Setagaya City Setagaya Library","セタガヤクリツセタガヤトショカン","154-0023","東京都","世田谷区","若林4丁目22番13号　世田谷合同庁舎1階","03-3419-1911","03-3413-7075","https://libweb.city.setagaya.tokyo.jp/main/list_00202info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001004","世田谷区立代田図書館","Setagaya City Daita Library","セタガヤクリツダイタトショカン","155-0033","東京都","世田谷区","代田6-34-13　代田区民センター3階・4階","03-3469-5638","03-3467-8084","https://libweb.city.setagaya.tokyo.jp/main/list_00207info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001005","世田谷区立尾山台図書館","Setagaya City Oyamadai Library","セタガヤクリツオヤマダイトショカン","158-0082","東京都","世田谷区","等々力2丁目17-14　尾山台地区会館内","03-3703-2581","03-3703-2624","https://libweb.city.setagaya.tokyo.jp/main/list_00203info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001006","世田谷区立玉川台図書館","Setagaya City Tamagawadai Library","セタガヤクリツタマガワダイトショカン","158-0096","東京都","世田谷区","玉川台1丁目6-15　玉川台区民センター３階","03-3709-4164","03-3709-6186","https://libweb.city.setagaya.tokyo.jp/main/list_00206info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001007","世田谷区立深沢図書館","Setagaya City Fukasawa Library","セタガヤクリツフカサワトショカン","158-0081","東京都","世田谷区","深沢4丁目33-11　深沢区民センター地階","03-3705-4341","03-3705-1396","https://libweb.city.setagaya.tokyo.jp/main/list_00210info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001008","世田谷区立桜丘図書館","Setagaya City Sakuragaoka Library","セタガヤクリツサクラガオカトショカン","156-0054","東京都","世田谷区","桜丘5丁目14-1　桜丘区民センター地階","03-3439-0741","03-3439-2923","https://libweb.city.setagaya.tokyo.jp/main/list_00211info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001009","世田谷区立上北沢図書館","Setagaya City Kami-kitazawa Library","セタガヤクリツカミキタザワトショカン","156-0057","東京都","世田谷区","上北沢3丁目8-9　上北沢区民センター地階","03-3290-3411","03-3290-9891","https://libweb.city.setagaya.tokyo.jp/main/list_00212info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001010","世田谷区立粕谷図書館","Setagaya City Kasuya Library","セタガヤクリツカスヤトショカン","157-0063","東京都","世田谷区","粕谷4丁目13-6　粕谷区民センター地階","03-3305-1661","03-3305-1664","https://libweb.city.setagaya.tokyo.jp/main/list_00214info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001011","世田谷区立鎌田図書館","Setagaya City Kamata Library","セタガヤクリツカマタトショカン","157-0077","東京都","世田谷区","鎌田3丁目35-1","03-3709-6311","03-3709-6344","https://libweb.city.setagaya.tokyo.jp/main/list_00213info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001012","世田谷区立経堂図書館","Setagaya City Kyodo Library","セタガヤクリツキョウドウトショカン","156-0051","東京都","世田谷区","宮坂3丁目1-30","03-5451-0071","03-5450-1088","https://libweb.city.setagaya.tokyo.jp/main/list_00215info.shtml",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001013","渋谷区立中央図書館","SHIBUYAKURITSUCHUO Library","シブヤクリツチュウオウトショカン","150-0001","東京都","渋谷区","神宮前1丁目4-1","03-3403-2591","","https://www.lib.city.shibuya.tokyo.jp/hp/intro_kan01/top/kan-chuo-top.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001014","渋谷区立笹塚図書館","SHIBUYAKURITSUSASAZUKA Library","シブヤクリツササヅカトショカン","151-0073","東京都","渋谷区","笹塚1-47-1 メルクマール京王笹塚4階","03-3460-6784","","https://www.lib.city.shibuya.tokyo.jp/?page_id=142",,2011/10/1 0:00:00,2022/3/23 0:00:00
"JP-1001016","渋谷区立富ケ谷図書館","SHIBUYAKURITSUTOMIGAYA Library","シブヤクリツトミガヤトショカン","151-0064","東京都","渋谷区","上原1丁目46-2","03-3468-9020","","https://www.lib.city.shibuya.tokyo.jp/hp/intro_kan04/top/kan-tomigaya-top.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001017","渋谷区立西原図書館","SHIBUYAKURITSUNISHIHARA Library","シブヤクリツニシハラトショカン","151-0066","東京都","渋谷区","西原2丁目28-9","03-3460-8535","","https://www.lib.city.shibuya.tokyo.jp/hp/intro_kan02/top/kan-nishihara-top.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001018","渋谷区立本町図書館","SHIBUYAKURITSUHOMMACHI Library","シブヤクリツホンマチトショカン","151-0071","東京都","渋谷区","本町1丁目33-5","03-5371-4833","","https://www.lib.city.shibuya.tokyo.jp/hp/intro_kan06/top/kan-honmachi-top.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001019","渋谷区立臨川みんなの図書館","SHIBUYAKURITSURINSEMMINNANO Library","シブヤクリツリンセンミンナノトショカン","150-0012","東京都","渋谷区","広尾1丁目9-17","03-5793-9500","","https://www.lib.city.shibuya.tokyo.jp/hp/intro_kan08/top/kan-rinsen-top.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001020","渋谷区立代々木図書館","SHIBUYAKURITSUYOYOGI Library","シブヤクリツヨヨギトショカン","151-0053","東京都","渋谷区","代々木3丁目51-8","03-3370-7566","","https://www.lib.city.shibuya.tokyo.jp/hp/intro_kan09/top/kan-yoyogi-top.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001021","中野区立中央図書館","Nakano City Central Library","ナカノクリツチュウオウトショカン","164-0001","東京都","中野区","中野2丁目9-7","03-5340-5070","03-5340-5090","https://library.city.tokyo-nakano.lg.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001022","中野区立鷺宮図書館","Nakano City Saginomiya Library","ナカノクリツサギノミヤトショカン","165-0032","東京都","中野区","鷺宮3丁目22-5","03-3337-1044","03-3337-7397","https://library.city.tokyo-nakano.lg.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001023","中野区立野方図書館","Nakano City Nogata Library","ナカノクリツノガタトショカン","165-0027","東京都","中野区","野方3丁目19-5","03-3389-0214","03-3389-0238","https://library.city.tokyo-nakano.lg.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001025","中野区立南台図書館","Nakano City Minamidai Library","ナカノクリツミナミダイトショカン","164-0014","東京都","中野区","南台3丁目26-18","03-3380-2661","03-3380-2662","https://library.city.tokyo-nakano.lg.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001027","中野区立江古田図書館","Nakano City Egota Library","ナカノクリツエゴタトショカン","165-0022","東京都","中野区","江古田2丁目1-11","03-3319-9301","03-3319-9302","https://library.city.tokyo-nakano.lg.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001028","中野区立上高田図書館","Nakano City Kamitakada Library","ナカノクリツカミタカダトショカン","164-0002","東京都","中野区","上高田5丁目30-15","03-3319-5411","03-3319-5472","https://library.city.tokyo-nakano.lg.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001029","杉並区立中央図書館","SUGINAMIKURITSUCHUO Library","スギナミクリツチュウオウトショカン","167-0051","東京都","杉並区","荻窪3丁目40-23","03-3391-5754","03-3391-7803","https://www.library.city.suginami.tokyo.jp/facilities/chuou.html",,2011/10/1 0:00:00,2015/1/13 0:00:00
"JP-1001030","杉並区立永福図書館","SUGINAMIKURITSUEIFUKU Library","スギナミクリツエイフクトショカン","168-0064","東京都","杉並区","永福3-51-17","03-3322-7141","03-3322-3736","https://www.library.city.suginami.tokyo.jp/facilities/eifuku.html",,2011/10/1 0:00:00,2021/6/18 0:00:00
"JP-1001031","杉並区立柿木図書館","SUGINAMIKURITSUKAKINOKI Library","スギナミクリツカキノキトショカン","167-0023","東京都","杉並区","上井草1丁目6-13","03-3394-3801","03-3394-6535","https://www.library.city.suginami.tokyo.jp/facilities/kakinoki.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001032","杉並区立高円寺図書館","SUGINAMIKURITSUKOENJI Library","スギナミクリツコウエンジトショカン","166-0003","東京都","杉並区","高円寺南2丁目36-25","03-3316-2421","03-3316-5536","https://www.library.city.suginami.tokyo.jp/facilities/kouenji.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001033","杉並区立宮前図書館","SUGINAMIKURITSUMIYAMAE Library","スギナミクリツミヤマエトショカン","168-0081","東京都","杉並区","宮前5丁目5-27","03-3333-5166","03-3333-6881","https://www.library.city.suginami.tokyo.jp/facilities/miyamae.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001034","杉並区立成田図書館","SUGINAMIKURITSUNARITA Library","スギナミクリツナリタトショカン","166-0015","東京都","杉並区","成田東3丁目28-5","03-3317-0341","03-3317-6588","https://www.library.city.suginami.tokyo.jp/facilities/narita.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001035","杉並区立西荻図書館","SUGINAMIKURITSUNISHIOGI Library","スギナミクリツニシオギトショカン","167-0042","東京都","杉並区","西荻北2丁目33-9","03-3301-1670","03-3301-5292","https://www.library.city.suginami.tokyo.jp/facilities/nishiogi.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001036","杉並区立阿佐谷図書館","SUGINAMIKURITSUASAGAYA Library","スギナミクリツアサガヤトショカン","166-0001","東京都","杉並区","阿佐谷北3丁目36-14","03-5373-1811","03-5373-1810","https://www.library.city.suginami.tokyo.jp/facilities/asagaya.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001037","杉並区立南荻窪図書館","SUGINAMIKURITSUMINAMIOGIKUBO Library","スギナミクリツミナミオギクボトショカン","167-0052","東京都","杉並区","南荻窪1丁目10-2","03-3335-7377","03-3335-7755","https://www.library.city.suginami.tokyo.jp/facilities/minamiogikubo.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001038","杉並区立下井草図書館","SUGINAMIKURITSUSHIMOIGUSA Library","スギナミクリツシモイグサトショカン","167-0022","東京都","杉並区","下井草3丁目26-5","03-3396-7999","03-3396-8098","https://www.library.city.suginami.tokyo.jp/facilities/simoigusa.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001039","杉並区立高井戸図書館","SUGINAMIKURITSUTAKAIDO Library","スギナミクリツタカイドトショカン","168-0072","東京都","杉並区","高井戸東1丁目28-1","03-3290-3456","","https://www.library.city.suginami.tokyo.jp/facilities/takaido.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001040","杉並区立方南図書館","SUGINAMIKURITSUHONAN Library","スギナミクリツホウナントショカン","168-0062","東京都","杉並区","方南1-51-2","03-5355-7100","","https://www.library.city.suginami.tokyo.jp/facilities/hounan.html",,2011/10/1 0:00:00,2023/4/5 0:00:00
"JP-1001041","杉並区立今川図書館","SUGINAMIKURITSUIMAGAWA Library","スギナミクリツイマガワトショカン","167-0035","東京都","杉並区","今川4丁目12-10","03-3394-0431","03-3394-0436","https://www.library.city.suginami.tokyo.jp/facilities/imagawa.html",,2011/10/1 0:00:00,2013/5/28 0:00:00
"JP-1001042","豊島区立中央図書館","TOSHIMAKURITSUCHUO Library","トシマクリツチュウオウトショカン","170-8442","東京都","豊島区","東池袋4丁目5-2 ライズアリーナビル4･5階","03-3983-7861","03-3983-9904","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001043","豊島区立巣鴨図書館","TOSHIMAKURITSUSUGAMO Library","トシマクリツスガモトショカン","170-0002","東京都","豊島区","巣鴨3丁目8-2","03-3910-3608","03-3910-5815","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001044","豊島区立千早図書館","TOSHIMAKURITSUCHIHAYA Library","トシマクリツチハヤトショカン","171-0044","東京都","豊島区","千早2丁目44-2","03-3955-8361","03-3955-8785","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001045","豊島区立目白図書館","TOSHIMAKURITSUMEJIRO Library","トシマクリツメジロトショカン","171-0031","東京都","豊島区","目白4丁目31-8","03-3950-7121","03-3950-7910","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001046","豊島区立駒込図書館","TOSHIMAKURITSUKOMAGOME Library","トシマクリツコマゴメトショカン","170-0003","東京都","豊島区","駒込2丁目2-2","03-3940-5751","03-3940-6330","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001047","豊島区立池袋図書館","TOSHIMAKURITSUIKEBUKURO Library","トシマクリツイケブクロトショカン","171-0014","東京都","豊島区","池袋3丁目29-10","03-3985-7981","03-3985-7486","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001048","豊島区立上池袋図書館","TOSHIMAKURITSUKAMIIKEBUKURO Library","トシマクリツカミイケブクロトショカン","170-0012","東京都","豊島区","上池袋2丁目45-15","03-3940-1779","03-3940-1149","http://www.library.toshima.tokyo.jp/",,2011/10/1 0:00:00,
"JP-1001049","北区立中央図書館","KITAKURITSUCHUO Library","キタクリツチュウオウトショカン","114-0033","東京都","北区","十条台1-2-5","03-5993-1125","03-5993-1044","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001050","北区立赤羽北図書館","KITAKURITSUAKABANEKITA Library","キタクリツアカバネキタトショカン","115-0052","東京都","北区","赤羽北1丁目18-1-111","03-3907-6412","03-3907-6477","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001051","北区立赤羽図書館","KITAKURITSUAKABANE Library","キタクリツアカバネトショカン","115-0044","東京都","北区","赤羽南1丁目13-1","03-3901-1992","03-3901-8645","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001052","北区立赤羽西図書館","KITAKURITSUAKABANENISHI Library","キタクリツアカバネニシトショカン","115-0055","東京都","北区","赤羽西5丁目7-5","03-3907-5992","03-5993-6492","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001053","北区立浮間図書館","KITAKURITSUKIMA Library","キタクリツウキマトショカン","115-0051","東京都","北区","浮間4-29-32","03-3965-6531","03-3969-2338","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2021/6/18 0:00:00
"JP-1001054","北区立滝野川図書館","KITAKURITSUTAKINOGAWA Library","キタクリツタキノガワトショカン","114-0024","東京都","北区","西ケ原1丁目23-3","03-3910-9092","03-3576-3036","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001055","北区立昭和町図書館","KITAKURITSUSHOWAMACHI Library","キタクリツショウワマチトショカン","114-0011","東京都","北区","昭和町3丁目10-7","03-3893-5418","03-3810-8581","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001056","北区立田端図書館","KITAKURITSUTABATA Library","キタクリツタバタトショカン","114-0014","東京都","北区","田端3丁目16-2","03-3828-5569","03-3828-7434","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001057","北区立上十条図書館","KITAKURITSUKAMIJUJO Library","キタクリツカミジュウジョウトショカン","114-0034","東京都","北区","上十条3丁目3-9","03-3905-3533","03-3905-3534","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001058","北区立東田端図書館","KITAKURITSUHIGASHITABATA Library","キタクリツヒガシタバタトショカン","114-0012","東京都","北区","田端新町2丁目14-15","03-3810-4341","03-3810-4345","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001059","北区立神谷図書館","KITAKURITSUKAMIYA Library","キタクリツカミヤトショカン","115-0043","東京都","北区","神谷3丁目35-17","03-5249-1200","03-5249-1203","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001060","北区立滝野川西図書館","KITAKURITSUTAKINOGAWANISHI Library","キタクリツタキノガワニシトショカン","114-0023","東京都","北区","滝野川6丁目21-25","03-3576-8800","03-3576-8804","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001061","北区立豊島図書館","KITAKURITSUTOSHIMA Library","キタクリツトシマトショカン","114-0003","東京都","北区","豊島3丁目27-22","03-3927-3421","03-3927-3417","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001062","北区立東十条図書館","KITAKURITSUHIGASHIJUJO Library","キタクリツヒガシジュウジョウトショカン","114-0001","東京都","北区","東十条3-2-14","03-5390-6680","03-5390-6700","https://www.library.city.kita.tokyo.jp/index.html",,2011/10/1 0:00:00,2019/5/31 0:00:00
"JP-1001063","荒川区立中央図書館","Arakawa City Public Library Chuo Library","アラカワクリツチュウオウトショカン","116-0002","東京都","荒川区","荒川二丁目50番1号　ゆいの森あらかわ内","03-3891-4349","03-3891-4350","https://www.library.city.arakawa.tokyo.jp/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001064","荒川区立尾久図書館","Arakawa City Public Library Ogu Library","アラカワクリツオグトショカン","116-0012","東京都","荒川区","東尾久8-45-4","03-3800-5821","03-3800-5822","https://www.library.city.arakawa.tokyo.jp/contents?4&pid=88",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001065","荒川区立日暮里図書館","Arakawa City Public Library Nippori Library","アラカワクリツニッポリトショカン","116-0014","東京都","荒川区","東日暮里6丁目38-4","03-3803-1645","03-3803-1646","https://www.library.city.arakawa.tokyo.jp/contents?6&pid=90",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001066","荒川区立町屋図書館","Arakawa City Public Library Machiya Library","アラカワクリツマチヤトショカン","116-0001","東京都","荒川区","町屋5丁目11-18","03-3892-9821","03-3892-9822","https://www.library.city.arakawa.tokyo.jp/contents?8&pid=89",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001067","荒川区立南千住図書館","Arakawa City Public Library Minami-Senju Library","アラカワクリツミナミセンジュトショカン","116-0003","東京都","荒川区","南千住6丁目63-1","03-3807-9221","03-3803-7744","https://www.library.city.arakawa.tokyo.jp/contents?9&pid=87",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1001068","板橋区立中央図書館","Itabashi City Chuo Library","イタバシクリツチュウオウトショカン","174-0071","東京都","板橋区","常盤台四丁目3番1号","03-6281-0291","03-6281-0244","https://www.city.itabashi.tokyo.jp/library/",,2011/10/1 0:00:00,2021/6/18 0:00:00
