"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","City/Ward/Town/Village","Address (Street Level)","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1003522","鹿屋体育大学附属図書館","Library of National Institute of Fitness and Sports in KANOYA","カノヤタイイクダイガクフゾクトショカン","891-2393","鹿児島県","鹿屋市","白水町1","0994-46-4874","0994-46-4157","http://www.lib.nifs-k.ac.jp/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003523","琉球大学附属図書館","University of the Ryukyus Library","リュウキュウダイガクフゾクトショカン","903-0214","沖縄県","中頭郡西原町","字千原1","098-895-8153","098-895-8154","http://www.lib.u-ryukyu.ac.jp",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003524","琉球大学附属図書館医学部分館","RYUKYUDAIGAKUFUZOKU Library IGAKUBUBUNKAN","リュウキュウダイガクフゾクトショカンイガクブブンカン","903-0215","沖縄県","中頭郡西原町","字上原207","098-895-1052","098-895-1095","http://www.lib.u-ryukyu.ac.jp/",,2011/10/1 0:00:00,2015/7/6 0:00:00
"JP-1003525","札幌医科大学附属総合情報センター","Sapporo Medical University Scholarly Communication Center","サッポロイカダイガクフゾクソウゴウジョウホウセンター","060-8556","北海道","札幌市中央区","南1条西17丁目","011-611-2111","011-641-9646","https://infonavi.sapmed.ac.jp/jpn/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003526","釧路公立大学附属図書館","Kushiro Public University Library","クシロコウリツダイガクフゾクトショカン","085-8585","北海道","釧路市","芦野4丁目1-1","0154-37-5097","0154-37-5140","http://www.kushiro-pu.ac.jp/library",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003527","公立はこだて未来大学情報ライブラリー","FUTURE UNIVERSITY HAKODATE Media Library","コウリツハコダテミライダイガクジョウホウライブラリー","041-8655","北海道","函館市","亀田中野町116-2","0138-34-6360","0138-34-6362","http://library.fun.ac.jp/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003528","名寄市立大学図書館","Nayoro City University Library","ナヨロシリツダイガクトショカン","096-8641","北海道","名寄市","西4条北8丁目1番地","01654-2-4199　（3114）","01654-3-9101","http://webopac.nayoro.ac.jp/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003529","名寄市立大学図書館分館","NAYOROSHIRITSUDAIGAKU Library BUNKAN","ナヨロシリツダイガクトショカンブンカン","096-8641","北海道","名寄市","西4条北8丁目1","01654-2-4199","01654-2-0070","http://webopac.nayoro.ac.jp/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003530","札幌市立大学附属図書館芸術の森キャンパス・ライブラリー","Geijutsu no mori Campus Library, Sapporo City University","サッポロシリツダイガクフゾクトショカンゲイジュツノモリキャンパス・ライブラリー","005-0864","北海道","札幌市南区","芸術の森1丁目","011-592-5383","011-592-5371","http://www.lib.scu.ac.jp",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003531","札幌市立大学附属図書館桑園キャンパス・ライブラリー","Soen Campus Library, Sapporo City University","サッポロシリツダイガクフゾクトショカンソウエンキャンパス・ライブラリー","060-0011","北海道","札幌市中央区","北11条西13丁目","011-726-2780","011-726-2791","http://www.lib.scu.ac.jp",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003532","青森公立大学図書館","Aomori Public University Library","アオモリコウリツダイガクトショカン","030-0196","青森県","青森市","大字合子沢字山崎153-4","017-764-1551","017-764-1591","http://www.nebuta.ac.jp/lib/top.htm",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003533","青森県立保健大学附属図書館","Aomori University of Health and Welfare Library","アオモリケンリツホケンダイガクフゾクトショカン","030-8505","青森県","青森市","大字浜館字間瀬58-1","017-765-2011","017-765-2012","http://www.auhw.ac.jp/library/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003534","岩手県立大学メディアセンター","Iwate Prefectural University Media Center","イワテケンリツダイガクメディアセンター","020-0693","岩手県","滝沢市","巣子152-52","019-694-2070","019-694-2071","http://www.iwate-pu.ac.jp/information/mediacenter/index.html",,2011/10/1 0:00:00,2014/7/15 0:00:00
"JP-1003535","岩手県立大学宮古短期大学部図書館","IWATEKENRITSUDAIGAKUMIYAKOTANKIDAIGAKUBU Library","イワテケンリツダイガクミヤコタンキダイガクブトショカン","027-0039","岩手県","宮古市","河南1丁目5-1","0193-64-2230","0193-64-2234","http://libmyk.iwate-pu.ac.jp/drupal/",,2011/10/1 0:00:00,2020/3/2 0:00:00
"JP-1003536","宮城大学総合情報センター大和キャンパス図書館","MIYAGIDAIGAKUSOGOJOHOSENTATAIWAKYAMPASU Library","ミヤギダイガクソウゴウジョウホウセンタータイワキャンパストショカン","981-3298","宮城県","黒川郡大和町","学苑1","022-377-8313","022-377-8383","http://www.myu.ac.jp/site/sogocenter/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003537","宮城大学総合情報センター太白キャンパス図書館","MIYAGIDAIGAKUSOGOJOHOSENTATAIHAKUKYAMPASU Library","ミヤギダイガクソウゴウジョウホウセンタータイハクキャンパストショカン","982-0215","宮城県","仙台市太白区","旗立2丁目2-1","022-245-1046","022-245-2214","http://www.myu.ac.jp/site/sogocenter/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003538","秋田県立大学図書・情報センター（秋田キャンパス）","Akita Prefectural University Library","アキタケンリツダイガクトショ･ジョウホウセンター(アキタキャンパス)","010-0195","秋田県","秋田市","下新城中野字街道端西241-438","018-872-1561","018-872-1674","https://libwww.akita-pu.ac.jp/drupal/",,2011/10/1 0:00:00,2015/7/7 0:00:00
"JP-1003539","秋田県立大学図書･情報センター(本荘キャンパス)","AKITAKENRITSUDAIGAKUTOSHOJOHOSENTA(HONJOKYAMPASU)","アキタケンリツダイガクトショジョウホウセンター(ホンジョウキャンパス)","015-0055","秋田県","由利本荘市","土谷字海老ノ口84-4","0184-27-2049","0184-27-2185","https://libwww.akita-pu.ac.jp/drupal/",,2011/10/1 0:00:00,2015/7/7 0:00:00
"JP-1003540","秋田県立大学図書･情報センター(大潟キャンパス)","AKITAKENRITSUDAIGAKUTOSHOJOHOSENTA(OGATAKYAMPASU)","アキタケンリツダイガクトショジョウホウセンター(オオガタキャンパス)","010-0444","秋田県","南秋田郡大潟村","南2丁目2","0185-45-2028","0185-45-2021","https://libwww.akita-pu.ac.jp/drupal/",,2011/10/1 0:00:00,2015/7/7 0:00:00
"JP-1003541","秋田県立大学木材高度加工研究所図書室","AKITAKENRITSUDAIGAKUMOKUZAIKODOKAKOKENKYUSHOTOSHOSHITSU","アキタケンリツダイガクモクザイコウドカコウケンキュウショトショシツ","016-0876","秋田県","能代市","海詠坂11-1","0185-52-6900","0185-52-6924","",,2011/10/1 0:00:00,
"JP-1003542","国際教養大学図書館","Akita International University Library","コクサイキョウヨウダイガクトショカン","010-1292","秋田県","秋田市","雄和椿川字奥椿岱193-2","018-886-5907","018-886-5912","http://web.aiu.ac.jp/library/",,2011/10/1 0:00:00,2015/7/8 0:00:00
"JP-1003543","山形県立保健医療大学附属図書館","YAMAGATAKENRITSUHOKENIRYODAIGAKUFUZOKU Library","ヤマガタケンリツホケンイリョウダイガクフゾクトショカン","990-2212","山形県","山形市","上柳260","023-686-6671","023-686-6679","http://www.yachts.ac.jp/off/library/",,2011/10/1 0:00:00,2012/3/29 0:00:00
"JP-1003544","福島県立医科大学附属学術情報センター","Fukushima Medical University Center for Academic Information Services","フクシマケンリツイカダイガクフゾクガクジュツジョウホウセンター","960-1297","福島県","福島市","光が丘1","024-547-1687","","http://www-lib.fmu.ac.jp/",,2011/10/1 0:00:00,2015/7/8 0:00:00
"JP-1003545","会津大学情報センター附属図書館","AIZUDAIGAKUJOHOSENTAFUZOKU Library","アイヅダイガクジョウホウセンターフゾクトショカン","965-8580","福島県","会津若松市","一箕町鶴賀","0242-37-2545","0242-37-2554","http://www.u-aizu.ac.jp/intro/facilities/library/",,2011/10/1 0:00:00,2016/5/19 0:00:00
"JP-1003546","茨城県立医療大学附属図書館","Ibaraki Prefectural University of Health Sciences, Library","イバラキケンリツイリョウダイガクフゾクトショカン","300-0394","茨城県","稲敷郡阿見町","阿見4669-2","029-840-2105","029-840-2303","http://www.lib.ipu.ac.jp",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003547","高崎経済大学図書館","Takasaki City University of Economics Library","タカサキケイザイダイガクトショカン","370-0801","群馬県","高崎市","上並榎町1300","027-344-6266","027-344-5857","https://www-std01.ufinity.jp/tcuelib3/",,2011/10/1 0:00:00,2020/3/2 0:00:00
"JP-1003548","群馬県立女子大学附属図書館","Gunma Prefectural Women's University Library","グンマケンリツジョシダイガクフゾクトショカン","370-1193","群馬県","佐波郡玉村町","大字上之手1395-1","0270-65-8511","0270-65-9538","http://www.gpwu.ac.jp/org/lib/",,2011/10/1 0:00:00,2015/7/8 0:00:00
"JP-1003549","前橋工科大学附属図書館","MAEBASHIKOKADAIGAKUFUZOKU Library","マエバシコウカダイガクフゾクトショカン","371-0816","群馬県","前橋市","上佐鳥町460-1","027-265-0112","027-265-1963","http://www.maebashi-it.ac.jp/library/",,2011/10/1 0:00:00,2015/7/8 0:00:00
"JP-1003550","群馬県立県民健康科学大学附属図書館","Library of Gunma Prefectural College of Health Sciences","グンマケンリツケンミンケンコウカガクダイガクフゾクトショカン","371-0052","群馬県","前橋市","上沖町323-1","027-235-9563","027-235-2501","http://gchs.opac.jp/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003551","埼玉県立大学情報センター","SAITAMAKENRITSUDAIGAKUJOHOSENTA","サイタマケンリツダイガクジョウホウセンター","343-8540","埼玉県","越谷市","三野宮820","048-973-4122","048-973-4810","http://www.spu.ac.jp/info.rbz?ik=1&nd=115",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003552","千葉県立保健医療大学図書館(幕張キャンパス図書館)","CHIBAKENRITSUHOKENIRYODAIGAKU Library (MAKUHARIKYAMPASU Library )","チバケンリツホケンイリョウダイガクトショカン(マクハリキャンパストショカン)","261-0014","千葉県","千葉市美浜区","若葉2丁目10-1","043-272-2987","043-272-2988","http://www.pref.chiba.lg.jp/hoidai/kyouiku/toshokan.html",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003553","千葉県立保健医療大学仁戸名キャンパス図書館","CHIBAKENRITSUHOKENIRYODAIGAKUNITONAKYAMPASU Library","チバケンリツホケンイリョウダイガクニトナキャンパストショカン","260-0801","千葉県","千葉市中央区","仁戸名町645-1","043-264-3061","043-264-3062","http://www.pref.chiba.lg.jp/hoidai/kyouiku/toshokan.html",,2011/10/1 0:00:00,2016/5/19 0:00:00
"JP-1003554","東京都立大学図書館本館","Central Library, Tokyo Metropolitan University","トウキョウトリツダイガクトショカンホンカン","192-0397","東京都","八王子市","南大沢1丁目1","042-677-2404","042-677-2403","http://www.lib.tmu.ac.jp/minami-osawa.html",,2011/10/1 0:00:00,2020/4/3 0:00:00
"JP-1003555","東京都立大学図書館日野館","System Design Library,Tokyo Metropolitan University","トウキョウトリツダイガクトショカンヒノカン","191-0065","東京都","日野市","旭が丘6丁目6","042-585-8614","042-583-5026","http://www.lib.tmu.ac.jp/hino.html",,2011/10/1 0:00:00,2020/4/3 0:00:00
"JP-1003556","東京都立大学図書館荒川館","Health Sciences Library, Tokyo Metoropolitan University","トウキョウトリツダイガクトショカンアラカワカン","116-8551","東京都","荒川区","東尾久7丁目2-10","03-3819-1211","","http://www.lib.tmu.ac.jp/arakawa.html",,2011/10/1 0:00:00,2020/4/3 0:00:00
"JP-1003557","東京都立大学法科大学院晴海キャンパス図書室","SHUTODAIGAKUTOKYOHOKADAIGAKUINHARUMIKYAMPASUTOSHOSHITSU","トウキョウトリツダイガクホウカダイガクインハルミキャンパストショシツ","104-0053","東京都","中央区","晴海1丁目2-2","03-3536-7903","03-3533-6980","",,2011/10/1 0:00:00,2020/4/3 0:00:00
"JP-1003558","東京都立産業技術大学院大学附属図書館","Advanced Institute of Industrial Technology Library","トウキョウトリツサンギョウギジュツダイガクインダイガクフゾクトショカン","140-0011","東京都","品川区","東大井1-10-40","03-3472-7831","","https://aiit.ac.jp/about/library/",,2011/10/1 0:00:00,2021/6/25 0:00:00
"JP-1003559","横浜市立大学学術情報センター","Yokohama City University Library & Information Center","ヨコハマシリツダイガクガクジュツジョウホウセンター","236-0027","神奈川県","横浜市金沢区","瀬戸22-2","045-787-2076","045-787-2079","https://opac.yokohama-cu.ac.jp/drupal/",,2011/10/1 0:00:00,2023/2/24 0:00:00
"JP-1003560","横浜市立大学医学情報センター","Yokohama City University Medical Library","ヨコハマシリツダイガクイガクジョウホウセンター","236-0004","神奈川県","横浜市金沢区","福浦3-9","045-787-2556","045-787-2560","http://opac.yokohama-cu.ac.jp/med/index.html",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003561","神奈川県立保健福祉大学附属図書館","KANAGAWAKENRITSUHOKENFUKUSHIDAIGAKUFUZOKU Library","カナガワケンリツホケンフクシダイガクフゾクトショカン","238-8522","神奈川県","横須賀市","平成町1-10-1","046-828-2540","046-828-2542","http://www.kuhs.ac.jp/library/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003562","新潟県立看護大学図書館","Niigata College of Nursing Library","ニイガタケンリツカンゴダイガクトショカン","943-0147","新潟県","上越市","新南町240番地","025-526-1169","025-526-3607","http://lib.niigata-cn.ac.jp/",,2011/10/1 0:00:00,2012/4/4 0:00:00
"JP-1003563","新潟県立大学図書館","Library of University of Niigata Prefecture","ニイガタケンリツダイガクトショカン","950-8680","新潟県","新潟市東区","海老ヶ瀬４７１","025-270-9233","025-270-5173","http://www.unii.ac.jp/library",,2011/10/1 0:00:00,2012/3/29 0:00:00
"JP-1003564","富山県立大学附属図書館","Toyama Prefectural University Library","トヤマケンリツダイガクフゾクトショカン","939-0398","富山県","射水市","黒河5180","0766-56-7500","0766-56-8103","http://www.pu-toyama.ac.jp/library",,2011/10/1 0:00:00,2012/4/6 0:00:00
"JP-1003565","金沢美術工芸大学附属図書館","KANAZAWABIJUTSUKOGEIDAIGAKUFUZOKU Library","カナザワビジュツコウゲイダイガクフゾクトショカン","920-8656","石川県","金沢市","小立野5丁目11-1","076-262-3504","076-262-2264","http://www.kanazawa-bidai.ac.jp/tosyokan/",,2011/10/1 0:00:00,2013/10/22 0:00:00
"JP-1003566","石川県立看護大学附属図書館","ISHIKAWAKENRITSUKANGODAIGAKUFUZOKU Library","イシカワケンリツカンゴダイガクフゾクトショカン","929-1210","石川県","かほく市","学園台1-1","076-281-8321","076-281-8323","http://www.ishikawa-nu.ac.jp/library/",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003567","石川県立大学図書･情報センター","ISHIKAWAKENRITSUDAIGAKUTOSHOJOHOSENTA","イシカワケンリツダイガクトショジョウホウセンター","921-8836","石川県","野々市市","末松1丁目308","076-227-7421","076-227-7410","http://www.ishikawa-pu.ac.jp/research/library/",,2011/10/1 0:00:00,2015/4/7 0:00:00
"JP-1003568","福井県立大学附属図書館","FUKUIKENRITSUDAIGAKUFUZOKU Library","フクイケンリツダイガクフゾクトショカン","910-1195","福井県","吉田郡永平寺町","松岡兼定島4-1-1","0776-61-6000","","http://www.fpu.ac.jp/cis/library/",,2011/10/1 0:00:00,2015/7/10 0:00:00
"JP-1003569","福井県立大学附属図書館小浜分館","FUKUIKENRITSUDAIGAKUFUZOKU Library OBAMABUNKAN","フクイケンリツダイガクフゾクトショカンオバマブンカン","917-0003","福井県","小浜市","学園町1-1","0770-52-6300","0770-52-7410","http://www.fpu.ac.jp/cis/library/",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003570","都留文科大学附属図書館","Tsuru University Library","ツルブンカダイガクフゾクトショカン","402-8555","山梨県","都留市","田原3丁目8-1","0554-43-4341","0554-43-9844","https://www.tsuru.ac.jp/site/library/",,2011/10/1 0:00:00,2022/12/15 0:00:00
"JP-1003571","山梨県立大学図書館","YAMANASHIKENRITSUDAIGAKU Library","ヤマナシケンリツダイガクトショカン","400-0035","山梨県","甲府市","飯田5丁目11-1","055-224-5340","055-224-5379","http://www.yamanashi-ken.ac.jp/library/library",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003572","山梨県立大学看護図書館","YAMANASHIKENRITSUDAIGAKUKANGO Library","ヤマナシケンリツダイガクカンゴトショカン","400-0062","山梨県","甲府市","池田1丁目6-1","055-253-9429","055-253-7691","http://www.yamanashi-ken.ac.jp/library/library",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003573","長野県看護大学付属図書館","Nagano College of Nursing Library","ナガノケンカンゴダイガクフゾクトショカン","399-4117","長野県","駒ケ根市","赤穂1694","0265-81-5128","0265-81-1256","http://www.nagano-nurs.ac.jp/library/index.html",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003574","岐阜薬科大学附属図書館","Gifu Pharmaceutical University Library","ギフヤッカダイガクフゾクトショカン","502-8585","岐阜県","岐阜市","三田洞東5丁目6-1","058-237-3931","058-237-3631","http://www.gifu-pu.ac.jp/info/campus/library",,2011/10/1 0:00:00,2015/7/14 0:00:00
"JP-1003575","岐阜県立看護大学図書館","Gifu College of Nursing Library","ギフケンリツカンゴダイガクトショカン","501-6295","岐阜県","羽島市","江吉良町3047-1","058-397-2304","058-397-2304","http://www.gifu-cn.ac.jp/library/",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003576","情報科学芸術大学院大学附属図書館","Institute of Advanced Media Arts and Sciences Library","ジョウホウカガクゲイジュツダイガクインダイガクフゾクトショカン","503-0807","岐阜県","大垣市","今宿6-52-18　ワークショップ24　1F","0584-75-6803","0584-75-6600","http://www.iamas.ac.jp/lib",,2011/10/1 0:00:00,2016/8/23 0:00:00
"JP-1003577","静岡県立大学附属図書館","University of Shizuoka Library","シズオカケンリツダイガクフゾクトショカン","422-8526","静岡県","静岡市駿河区","谷田52-1","054-264-5801","054-264-5899","http://www.u-shizuoka-ken.ac.jp/library/",,2011/10/1 0:00:00,2012/3/28 0:00:00
"JP-1003578","静岡文化芸術大学図書館･情報センター","Shizuoka University of Art and Culture Library","シズオカブンカゲイジュツダイガクトショカン･ジョウホウセンター","430-8533","静岡県","浜松市中区","中央2丁目1-1","053-457-6124","053-457-6125","http://www.suac.ac.jp/library/",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003579","愛知県立芸術大学芸術情報センター図書館","Aichi University of the Arts Library and Art Information Center","アイチケンリツゲイジュツダイガクゲイジュツジョウホウセンタートショカン","480-1194","愛知県","長久手市","岩作三ヶ峯1-114","0561-62-1180","0561-62-0244","http://www.aigei-library.blogspot.jp/",,2011/10/1 0:00:00,2013/10/24 0:00:00
"JP-1003580","名古屋市立大学総合情報センター事務室","NAGOYASHIRITSUDAIGAKUSOGOJOHOSENTAJIMUSHITSU","ナゴヤシリツダイガクソウゴウジョウホウセンタージムシツ","467-8501","愛知県","名古屋市瑞穂区","瑞穂町山の畑1","052-872-5795","052-872-5781","http://www.nagoya-cu.ac.jp/affiliate/library/outline/index.html",,2011/10/1 0:00:00,2016/5/20 0:00:00
"JP-1003581","名古屋市立大学総合情報センター川澄分館","Nagoya City University Kawasumi Library","ナゴヤシリツダイガクソウゴウジョウホウセンターカワスミブンカン","467-8601","愛知県","名古屋市瑞穂区","瑞穂町川澄1","052-853-8030","052-853-6929","https://ncu-opac.adm.nagoya-cu.ac.jp/",,2011/10/1 0:00:00,2021/12/13 0:00:00
"JP-1003582","名古屋市立大学総合情報センター田辺通分館","Nagoya City University Tanabe-dori Library","ナゴヤシリツダイガクソウゴウジョウホウセンタータナベドオリブンカン","467-8603","愛知県","名古屋市瑞穂区","田辺通3丁目1","052-836-3522","052-836-3525","http://www.nagoya-cu.ac.jp/affiliate/library/tanabe/index.html",,2011/10/1 0:00:00,2016/5/20 0:00:00
"JP-1003583","名古屋市立大学総合情報センター山の畑分館","Nagoya City University Yamanohata Library","ナゴヤシリツダイガクソウゴウジョウホウセンターヤマノハタブンカン","467-8501","愛知県","名古屋市瑞穂区","瑞穂町字山の畑1","052-872-5761","052-872-5760","https://ncu-opac.adm.nagoya-cu.ac.jp",,2011/10/1 0:00:00,2021/12/14 0:00:00
"JP-1003584","名古屋市立大学総合情報センター北千種分館","Nagoya City University Kitachikusa Library","ナゴヤシリツダイガクソウゴウジョウホウセンターキタチクサブンカン","464-0083","愛知県","名古屋市千種区","北千種2丁目1-10","052-721-1107","052-721-1145","https://ncu-opac.adm.nagoya-cu.ac.jp",,2011/10/1 0:00:00,2021/12/24 0:00:00
"JP-1003585","愛知県立大学学術研究情報センター長久手キャンパス図書館","Aichi Prefectural University Library & Academic Information Center","アイチケンリツダイガクガクジュツケンキュウジョウホウセンターナガクテキャンパストショカン","480-1198","愛知県","長久手市","茨ケ廻間1522-3","0561-76-8841","0561-64-1104","http://www.aichi-pu.ac.jp/library",,2011/10/1 0:00:00,2015/7/15 0:00:00
"JP-1003586","愛知県立大学守山キャンパス図書館","Aichi Prefectural University Moriyama Campus Library","アイチケンリツダイガクモリヤマキャンパストショカン","463-8502","愛知県","名古屋市守山区","上志段味字東谷","052-778-7147","052-736-1504","http://www.nrs.aichi-pu.ac.jp/library/",,2011/10/1 0:00:00,2015/7/15 0:00:00
"JP-1003587","三重県立看護大学メディアコミュニケーションセンター附属図書館","Mie Prefectural College of Nursing Library","ミエケンリツカンゴダイガクメディアコミュニケーションセンターフゾクトショカン","514-0116","三重県","津市","夢が丘1丁目1-1","059-233-5608","059-233-5668","http://www.mcn.ac.jp/library",,2011/10/1 0:00:00,2013/10/25 0:00:00
"JP-1003588","滋賀県立大学図書情報センター","Library and Information Network Center, The University of Shiga Prefecture","シガケンリツダイガクトショジョウホウセンター","522-8533","滋賀県","彦根市","八坂町2500","0749-28-8231","0749-28-8475","http://www.usp.ac.jp/japanese/campus/centers/tosho.html/",,2011/10/1 0:00:00,2013/10/25 0:00:00
"JP-1003589","京都市立芸術大学附属図書館","Library, Kyoto City University of Arts","キョウトシリツゲイジュツダイガクフゾクトショカン","610-1197","京都府","京都市西京区","大枝沓掛町13-6","075-334-2233","075-333-8533","http://libmuse.kcua.ac.jp/lib/",,2011/10/1 0:00:00,2020/3/2 0:00:00
"JP-1003590","京都府立大学附属図書館","Kyoto Prefectural University Library","キョウトフリツダイガクフゾクトショカン","606-8522","京都府","京都市左京区","下鴨半木町1-5","075-703-5128","075-703-5192","http://www2.kpu.ac.jp/toshokan/toshokan.html",,2011/10/1 0:00:00,2015/7/15 0:00:00
"JP-1003591","京都府立医科大学附属図書館","Kyoto Prefectural University of Medicine Library","キョウトフリツイカダイガクフゾクトショカン","602-0857","京都府","京都市上京区","清和院口寺町東入る中御霊町410番地","075-212-5400","075-212-5405","http://www.f.kpu-m.ac.jp/k/library/",,2011/10/1 0:00:00,2015/7/15 0:00:00
"JP-1003592","京都府立医科大学花園図書室","KYOTOFURITSUIKADAIGAKUHANAZONOTOSHOSHITSU","キョウトフリツイカダイガクハナゾノトショシツ","603-8334","京都府","京都市北区","大将軍西鷹司町13","075-465-7630","","",,2011/10/1 0:00:00,2012/5/1 0:00:00
"JP-1003593","大阪公立大学杉本図書館","Osaka Metropolitan University Sugimoto Library","オオサカコウリツダイガクスギモトトショカン","558-8585","大阪府","大阪市住吉区","杉本3丁目3-138","06-6605-3240","06-6605-3252","https://libweb.media.osaka-cu.ac.jp/",,2011/10/1 0:00:00,2022/8/24 0:00:00
"JP-1003594","大阪公立大学阿倍野医学図書館","Osaka Metropolitan University Abeno Medical Library","オオサカコウリツダイガクアベノイガクトショカン","545-0051","大阪府","大阪市阿倍野区","旭町1丁目2-7","06-6645-3491","06-6645-3489","http://libweb.media.osaka-cu.ac.jp/?page_id=105",,2011/10/1 0:00:00,2023/2/7 0:00:00
"JP-1003597","大阪公立大学都市科学・防災研究センター都市文庫","Osaka Metropolitan University Urban Resilience Research Center TOSHIBUNKO","オオサカコウリツダイガクトシカガク・ボウサイケンキュウセンタートシブンコ","558-8585","大阪府","大阪市住吉区","杉本3丁目3-138","06-6605-2071","06-6605-2069","https://www.omu.ac.jp/orp/urec/",,2011/10/1 0:00:00,2022/7/21 0:00:00
"JP-1003598","大阪府立大学学術情報センター図書館","OSAKAFURITSUDAIGAKUGAKUJUTSUJOHOSENTA Library","オオサカフリツダイガクガクジュツジョウホウセンタートショカン","599-8531","大阪府","堺市中区","学園町1番1号","072-254-9152","072-254-9939","http://www.osakafu-u.ac.jp/library/",,2011/10/1 0:00:00,2015/7/15 0:00:00
"JP-1003601","大阪府立大学経済・経営・法律系図書室","OSAKAFURITSUDAIGAKUKEIZAIKEIEIHORITSUKEITOSHOSHITSU","オオサカフリツダイガクケイザイケイエイホウリツケイトショシツ","599-8531","大阪府","堺市中区","学園町1番1号","072-254-9554","072-254-9926","http://www.osakafu-u.ac.jp/library/use/libraries/eco/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003602","大阪府立大学ヒューマンサイエンス系図書室","OSAKAFURITSUDAIGAKUHYUMANSAIENSUKEITOSHOSHITSU","オオサカフリツダイガクヒューマンサイエンスケイトショシツ","599-8531","大阪府","堺市中区","学園町1番1号","072-254-9772","072-254-9772","https://www.osakafu-u.ac.jp/library/use/libraries/hs/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003604","大阪府立大学羽曳野図書センター","OSAKAFURITSUDAIGAKUHABIKINOTOSHOSENTA","オオサカフリツダイガクハビキノトショセンター","583-8555","大阪府","羽曳野市","はびきの3丁目7-30","072-950-2956","072-950-2104","http://www.osakafu-u.ac.jp/library/use/libraries/habikino/",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003606","神戸市外国語大学図書館","Kobe City University of Foreign Studies Library","コウベシガイコクゴダイガクトショカン","651-2187","兵庫県","神戸市西区","学園東町9丁目1","078-794-8153","078-797-2257","https://www.kobe-cufs.ac.jp/library/",,2011/10/1 0:00:00,2022/6/15 0:00:00
"JP-1003607","神戸市看護大学図書館","Kobe City College of Nursing Library","コウベシカンゴダイガクトショカン","651-2103","兵庫県","神戸市西区","学園西町3丁目4","078-794-8090","078-794-8088","http://www.kobe-ccn.ac.jp/library",,2011/10/1 0:00:00,2013/10/25 0:00:00
"JP-1003608","兵庫県立大学神戸情報科学学術情報館","Library and Academic Information Center, University of Hyogo","ヒョウゴケンリツダイガクコウベジョウホウカガクガクジュツジョウホウカン","650-0047","兵庫県","神戸市中央区","港島南町7-1-28　計算科学センタービル5F","078-303-1904","078-303-1913","http://lib.laic.u-hyogo.ac.jp/laic/6/",,2011/10/1 0:00:00,2013/4/1 0:00:00
"JP-1003609","兵庫県立大学神戸商科学術情報館","Library and Academic Information Center Kobe Campus for Commerce, University of Hyogo","ヒョウゴケンリツダイガクコウベショウカガクジュツジョウホウカン","651-2197","兵庫県","神戸市西区","学園西町8丁目2-1","078-794-5394","078-794-3880","http://lib.laic.u-hyogo.ac.jp/laic/4/",,2011/10/1 0:00:00,2013/10/25 0:00:00
"JP-1003610","兵庫県立大学政策科学研究所","Institute for Policy Analysis and Social Innovation, University of Hyogo","ヒョウゴケンリツダイガクセイサクカガクケンキュウショ","651-2197","兵庫県","神戸市西区","学園西町8丁目2-1","078-794-5302","078-794-6166","http://ips-u-hyogo.jp/",,2011/10/1 0:00:00,2015/7/16 0:00:00
